gdp,exprop,mort,latitude,neo,africa,asia,namer,samer,lnmort,lat2,lat3,lat_c08,lat2_c08,lat3_c08,lat_c16,lat2_c16,lat3_c16,lat_c24,lat2_c24,lat3_c24
8.3900003,6.5,78.199997,.31110001,0,1,0,0,0,4.3592696,.096783213,.030109258,.23110001,.053407215,.012342407,.15110001,.022831213,.0034497962,.071100004,.005055211,.00035942552
7.77,5.3600001,280,.1367,0,1,0,0,0,5.6347895,.018686891,.0025544981,.056700006,.0032148906,.0001822843,0,0,0,0,0,0
9.1300001,6.3899999,68.900002,.37779999,0,0,0,0,1,4.232656,.14273283,.05392446,.29779997,.088684835,.026410341,.21779999,.047436833,.010331742,.13779999,.018988837,.0026166614
9.8999996,9.3199997,8.5500002,.30000001,1,0,0,0,0,2.1459312,.090000004,.027000003,.22000001,.048400003,.010648002,.14000002,.019600004,.0027440006,.060000014,.0036000013,.00021600013
9.29,7.5,85,.2683,0,0,0,1,0,4.4426513,.071984887,.019313546,.1883,.035456888,.0066765319,.1083,.011728889,.0012702387,.028299997,.0008008898,.000022665179
6.8800001,5.1399999,71.410004,.2667,0,0,1,0,0,4.2684379,.07112889,.018970074,.1867,.034856889,.0065077813,.1067,.011384889,.0012147678,.026699999,.00071289,.000019034162
7.9299998,5.6399999,71,.18889999,0,0,0,0,1,4.2626801,.035683207,.0067405575,.1089,.011859208,.0012914678,.028899994,.00083520962,.000024137553,0,0,0
8.7299995,7.9099998,71,.1111,0,0,0,0,1,4.2626801,.012343211,.0013713307,.031100003,.00096721022,.00003008024,0,0,0,0,0,0
6.8499999,4.4499998,280,.1444,0,1,0,0,0,5.6347895,.020851361,.0030109363,.064400002,.0041473601,.00026708998,0,0,0,0,0,0
7.5,6.4499998,280,.66670001,0,1,0,0,0,5.6347895,.44448888,.29634076,.58670002,.34421688,.20195206,.50669998,.25674489,.13009264,.4267,.18207289,.077690504
9.9899998,9.7299995,16.1,.66670001,1,0,0,1,0,2.7788193,.44448888,.29634076,.58670002,.34421688,.20195206,.50669998,.25674489,.13009264,.4267,.18207289,.077690504
9.3400002,7.8200002,68.900002,.33329999,0,0,0,0,1,4.232656,.11108889,.037025925,.25329998,.064160891,.016251951,.1733,.030032888,.0052046995,.093299992,.0087048886,.00081216608
8.8100004,7.3200002,71,.044399999,0,0,0,0,1,4.2626801,.0019713598,.00008752838,0,0,0,0,0,0,0,0,0
7.4200001,4.6799998,240,.0111,0,1,0,0,0,5.480639,.00012320999,1.3676309e-06,0,0,0,0,0,0,0,0,0
8.79,7.0500002,78.099998,.1111,0,0,0,1,0,4.3579903,.012343211,.0013713307,.031100003,.00096721022,.00003008024,0,0,0,0,0,0
7.4400001,7,668,.0889,0,1,0,0,0,6.5042882,.0079032099,.00070259534,.0088999998,.000079209996,7.0496895e-07,0,0,0,0,0,0
8.3599997,6.1799998,130,.2111,0,0,0,1,0,4.8675346,.044563208,.0094072931,.1311,.01718721,.002253243,.051099997,.0026112096,.00013343281,0,0,0
8.4700003,6.5500002,71,.0222,0,0,0,0,1,4.2626801,.00049283996,.000010941048,0,0,0,0,0,0,0,0,0
7.9499998,6.77,67.800003,.30000001,0,1,0,0,0,4.2165623,.090000004,.027000003,.22000001,.048400003,.010648002,.14000002,.019600004,.0027440006,.060000014,.0036000013,.00021600013
7.9499998,5,78.099998,.15000001,0,0,0,1,0,4.3579903,.022500001,.0033750003,.070000008,.004900001,.00034300008,0,0,0,0,0,0
6.1100001,5.73,26,.0889,0,1,0,0,0,3.2580965,.0079032099,.00070259534,.0088999998,.000079209996,7.0496895e-07,0,0,0,0,0,0
8.8999996,7.8200002,280,.0111,0,1,0,0,0,5.6347895,.00012320999,1.3676309e-06,0,0,0,0,0,0,0,0,0
7.27,8.2700005,1470,.1476,0,1,0,0,0,7.2930179,.021785758,.0032155779,.067599997,.0045697591,.00030891571,0,0,0,0,0,0
7.3699999,6.27,668,.0889,0,1,0,0,0,6.5042882,.0079032099,.00070259534,.0088999998,.000079209996,7.0496895e-07,0,0,0,0,0,0
8.29,5.1399999,71,.17,0,0,0,1,0,4.2626801,.028900001,.0049129999,.090000004,.0081000002,.00072900002,.010000002,.00010000003,1.0000006e-06,0,0,0
7.4899998,6.5500002,483,.1222,0,1,0,0,0,6.1800165,.014932839,.0018247929,.042199999,.0017808398,.000075151431,0,0,0,0,0,0
7.9000001,5.8899999,32.18,.055599999,0,0,0,0,1,3.4713452,.0030913597,.0001718796,0,0,0,0,0,0,0,0,0
7.1500001,3.73,130,.2111,0,0,0,1,0,4.8675346,.044563208,.0094072931,.1311,.01718721,.002253243,.051099997,.0026112096,.00013343281,0,0,0
7.6900001,5.3200002,78.099998,.16670001,0,0,0,1,0,4.3579903,.027788892,.0046324083,.086700007,.0075168908,.00065171451,.0067000054,.000044890076,3.0076376e-07,0,0,0
10.05,8.1400003,14.9,.24609999,0,0,1,0,0,2.7013612,.060565207,.014905097,.1661,.027589208,.0045825671,.086099997,.007413209,.00063827721,.0060999934,.00003720992,2.2698029e-07
7.3299999,8.2700005,48.630001,.22220001,0,0,1,0,0,3.8842406,.049372844,.010970646,.14220001,.020220842,.0028754037,.062200006,.0038688409,.00024064192,0,0,0
8.0699997,7.5900002,170,.055599999,0,0,1,0,0,5.1357985,.0030913597,.0001718796,0,0,0,0,0,0,0,0,0
8.1899996,7.0900002,130,.2017,0,0,0,1,0,4.8675346,.04068289,.0082057388,.1217,.014810891,.0018024854,.041700002,.0017388902,.000072511721,0,0,0
7.0599999,6.0500002,145,.0111,0,1,0,0,0,4.9767337,.00012320999,1.3676309e-06,0,0,0,0,0,0,0,0,0
6.8400002,4.4499998,536.03998,.22220001,0,1,0,0,0,6.2842088,.049372844,.010970646,.14220001,.020220842,.0028754037,.062200006,.0038688409,.00024064192,0,0,0
8.8900003,7.9499998,17.700001,.025599999,0,0,1,0,0,2.8735647,.00065535994,.000016777214,0,0,0,0,0,0,0,0,0
6.5700002,4,2940,.18889999,0,1,0,0,0,7.986165,.035683207,.0067405575,.1089,.011859208,.0012914678,.028899994,.00083520962,.000024137553,0,0,0
9.4300003,7.23,16.299999,.3944,0,0,0,0,0,2.7911651,.15555136,.061349455,.31439999,.098847359,.03107761,.2344,.05494336,.012878723,.15440001,.02383936,.0036807973
8.9399996,7.5,71,.25560001,0,0,0,1,0,4.2626801,.065331362,.016698698,.17560001,.030835362,.0054146899,.095600009,.0091393609,.00087372295,.015600005,.00024336016,3.7964198e-06
8.04,7.0900002,78.199997,.3556,0,1,0,0,0,4.3592696,.12645136,.044966102,.27559999,.075955361,.020933297,.1956,.038259361,.0074835308,.1156,.013363359,.0015448044
9.7600002,9.7299995,8.5500002,.45559999,1,0,0,0,0,2.1459312,.20757136,.094569504,.37559998,.14107536,.052987903,.2956,.087379359,.025829338,.2156,.046483357,.010021811
7.54,5.23,163.3,.1444,0,0,0,1,0,5.0955892,.020851361,.0030109363,.064400002,.0041473601,.00026708998,0,0,0,0,0,0
6.73,5,400,.1778,0,1,0,0,0,5.9914646,.03161284,.0056207627,.097800002,.0095648402,.00093544135,.0178,.00031683999,5.6397516e-06,0,0,0
6.8099999,5.5500002,2004,.1111,0,1,0,0,0,7.6029005,.012343211,.0013713307,.031100003,.00096721022,.00003008024,0,0,0,0,0,0
7.3499999,6.0500002,36.990002,.33329999,0,0,1,0,0,3.6106477,.11108889,.037025925,.25329998,.064160891,.016251951,.1733,.030032888,.0052046995,.093299992,.0087048886,.00081216608
8.8400002,5.9099998,163.3,.1,0,0,0,1,0,5.0955892,.010000001,.001,.020000001,.00040000005,8.0000018e-06,0,0,0,0,0,0
8.21,6.9499998,78.099998,.25560001,0,0,0,0,1,4.3579903,.065331362,.016698698,.17560001,.030835362,.0054146899,.095600009,.0091393609,.00087372295,.015600005,.00024336016,3.7964198e-06
8.3999996,5.77,71,.1111,0,0,0,0,1,4.2626801,.012343211,.0013713307,.031100003,.00096721022,.00003008024,0,0,0,0,0,0
7.4000001,6,164.66,.1556,0,1,0,0,0,5.1038828,.024211358,.0037672874,.075599998,.0057153595,.00043208114,0,0,0,0,0,0
6.25,5.8200002,483,.092200004,0,1,0,0,0,6.1800165,.0085008405,.00078377756,.012200003,.00014884009,1.8158496e-06,0,0,0,0,0,0
10.15,9.3199997,17.700001,.0136,0,0,1,0,0,2.8735647,.00018496001,2.5154561e-06,0,0,0,0,0,0,0,0,0
8.8900003,6.8600001,15.5,.3222,0,1,0,0,0,2.74084,.10381284,.033448499,.2422,.058660839,.014207656,.1622,.02630884,.004267294,.082199998,.0067568403,.00055541226
7.73,6.0500002,69.800003,.077799998,0,0,1,0,0,4.2456341,.0060528396,.00047091092,0,0,0,0,0,0,0,0,0
7.3099999,4,88.199997,.16670001,0,1,0,0,0,4.4796071,.027788892,.0046324083,.086700007,.0075168908,.00065171451,.0067000054,.000044890076,3.0076376e-07,0,0,0
6.25,6.6399999,145,.066699997,0,1,0,0,0,4.9767337,.0044488898,.00029674091,0,0,0,0,0,0,0,0,0
7.2199998,6.9099998,668,.0889,0,1,0,0,0,6.5042882,.0079032099,.00070259534,.0088999998,.000079209996,7.0496895e-07,0,0,0,0,0,0
8.7700005,7.4499998,85,.1222,0,0,0,1,0,4.4426513,.014932839,.0018247929,.042199999,.0017808398,.000075151431,0,0,0,0,0,0
8.4799995,6.4499998,63,.37779999,0,1,0,0,0,4.1431346,.14273283,.05392446,.29779997,.088684835,.026410341,.21779999,.047436833,.010331742,.13779999,.018988837,.0026166614
6.9699998,4.4499998,280,.0111,0,1,0,0,0,5.6347895,.00012320999,1.3676309e-06,0,0,0,0,0,0,0,0,0
9.0299997,7,71,.36669999,0,0,0,0,1,4.2626801,.13446888,.049309738,.28669998,.082196884,.023565847,.2067,.042724889,.0088312337,.1267,.016052889,.0020339009
10.22,10,15,.42219999,1,0,0,1,0,2.7080503,.17825283,.075258344,.34219998,.11710083,.040071905,.2622,.068748839,.018025944,.1822,.033196837,.0060484638
9.0699997,7.1399999,78.099998,.0889,0,0,0,0,1,4.3579903,.0079032099,.00070259534,.0088999998,.000079209996,7.0496895e-07,0,0,0,0,0,0
7.2800002,6.4099998,140,.1778,0,0,1,0,0,4.9416423,.03161284,.0056207627,.097800002,.0095648402,.00093544135,.0178,.00031683999,5.6397516e-06,0,0,0
6.8699999,3.5,240,0,0,1,0,0,0,5.480639,0,0,0,0,0,0,0,0,0,0,0
